"","Cell_line","Emb_0h","Emb_12h","Emb_24h","Emb_48h"
"RPRC013585",0,19.5874768339685,93.2813453387551,43.9870383949429,31.1730163404908
"RPRC013691",0,1.11536405569835,39.5253355622079,33.3808027963196,28.4935714013478
"RPRC013725",0,335.508220556962,2.48410893579038,3.23098145206956,4.09077156266076
"RPRC013772",0,3.50915708751879,21.8382645180983,19.6102624243666,27.5572272829789
"RPRC013879",0,10.8149862340127,1.18352343543911,9.99160650724032,44.0195841692031
"RPRC013914",0,243.096225395175,106.087323861864,199.752608996756,171.970167714345
"RPRC013981",0,5.92170258518796,32.2318770427548,11.8693693621166,37.6498423706941
"RPRC013998",0,4.90403515850478,2.01509439912587,1.98602614966522,3.07819712977088
"RPRC014004",0,7.14012356004162,2.35641861286486,3.71786784346636,4.96055080914323
"RPRC014099",0,1.84230747094736,28.2379270613699,22.7066196492666,40.5459840915167
"RPRC014134",0,60.3944404009812,1.9914432040146,5.64949388402806,3.43657008021057
"RPRC014379",0,1.20368546196198,43.2166065422938,49.631627967907,46.5141098287011
"RPRC014457",0,1.34393250160294,1.55898863455111,2.33403219384559,1.34443716247085
"RPRC014482",0,1.01878754153771,1.130149966436,277.540148674907,1242.36836047488
"RPRC014973",0,50.2345251890013,3.24355907088999,6.02838095415651,3.1292201241463
"RPRC015242",0,1.29200783676828,3.81240680041279,4.64453583734999,8.70278619579426
"RPRC015244",0,66.2100503759385,1293.19227586026,2132.46060521065,708.779520826458
"RPRC015432",0,4.7069943625853,87.8830694284476,79.4334718849344,56.8089337545976
"RPRC017143",0,123.033650720669,32.2100869465473,60.6617726374265,84.1620815354699
"RPRC017156",0,3.50915708751879,381.877673658725,308.947643106688,303.656071334735
"RPRC017172",0,67.0615608651759,56.8489861873066,93.6128001725622,93.1911466080788
"RPRC017176",0,49.4021113237413,10.9488995819534,19.1305261279192,32.9422331452671
"RPRC017362",0,1.04599874724118,14.2204741802343,7.37038877892862,3.32820015936026
